     No.                                Reward                         Alternative Reward  Coin Equivalent
0    2.0                              40 Coins                                        NaN               40
1    5.0          1x Scissors + 1x Bronze Pack                                        NaN              220
2    8.0                 15m Heart + 1x Hammer                                        NaN              235
3   11.0            80 Coins + 1x Emerald Pack                                        NaN              280
4   15.0                              1x Broom                                        NaN              240
5   20.0            30m Heart + 1x Silver Pack                                        NaN              470
6   25.0                             160 Coins                                        NaN              160
7   30.0        2x Scissors + 1x Amethyst Pack                                        NaN              720
8   35.0       1h Heart + 1x Hammer + 1x Broom                                        NaN              700
9   45.0  500 Coins + 1x Boosters Set + Avatar  500 Coins + 1x Booster Set + 1x Ruby Pack             1700
10   NaN                                   NaN                                        NaN             4765
